Name,formula,F_0,V_0,K_0,KPrime,Debye,grueneisen,q_0,G_0,Gprime,eta_s_0,n,molar_mass,Fe
Anorthite,CaAl2Si2O8,-4014619,0.00010061,84.08915,4,752.3911,0.39241,1,39.9,1.09134,1.6254,13,0.2782072,0
Albite,NaAlSi3O8,-3718799,0.000100452,59.76162,4,713.7824,0.56704,1,36,1.3855,1.04208,13,0.262223,0
Spinel,Mg4Al8O16,-8667568,0.000159048,196.9428,5.68282,842.8104,1.02283,2.71208,108.5,0.37303,2.66282,28,0.5690624,0
Hercynite,Fe4Al8O16,-7324009,0.000163372,208.8965,5.68282,763.231,1.21719,2.71208,84.5,0.37303,2.768,28,0.6952224,4
Enstatite,Mg2Si2O6,-2913596,6.27E-05,107.0768,7.02751,812.1848,0.78479,3.43846,76.8,1.54596,2.50453,10,0.2007774,0
Ferrosilite,Fe2Si2O6,-2225718,6.59E-05,100.5386,7.02751,674.4769,0.71889,3.43846,52,1.54596,1.07706,10,0.2638574,2
Mg_Tschermaks,MgAl2SiO6,-3002470,5.91E-05,107.0768,7.02751,783.8404,0.78479,3.43846,95.95086,1.54596,2.49099,10,0.2023499,0
Ortho_Diopside,CaMgSi2O6,-3015827,6.81E-05,107.0768,7.02751,744.6988,0.78479,3.43846,58.45895,1.54596,1.36161,10,0.2165504,0
HP_Clinoenstatite,Mg2Si2O6,-2905788,6.08E-05,116.0254,6.23685,824.4439,1.12473,0.20401,87.92717,1.84119,2.14181,10,0.2007774,0
HP_Clinoferrosilite,Fe2Si2O6,-2222183,6.39E-05,116.0254,6.23685,691.564,1.12473,0.20401,70.62309,1.84119,0.79216,10,0.2638574,2
Diopside,CaMgSi2O6,-3029531,6.60E-05,112.2413,5.23885,781.6146,0.95873,1.52852,67,1.37293,1.57351,10,0.2165504,0
Hedenbergite,CaFeSi2O6,-2677330,6.79E-05,119.2555,5.23885,701.5851,0.93516,1.52852,61,1.17647,1.5703,10,0.2480904,1
Clinoenstatite,Mg2Si2O6,-2905918,6.25E-05,112.2413,5.23885,805.0547,0.95873,1.52852,79.49686,1.62901,1.69074,10,0.2007774,0
Ca_Tschermaks,CaAl2SiO6,-3120253,6.36E-05,112.2413,5.23885,803.6626,0.78126,1.52852,75.16066,1.54016,1.9672,10,0.2181229,0
Jadeite,NaAlSi2O6,-2855192,6.05E-05,142.2873,5.23885,820.7623,0.903,0.39234,85,1.37398,2.18453,10,0.2021387,0
Pyrope,Mg3Al2Si3O12,-5936538,0.00011308,170.2396,4.11067,823.2102,1.01424,1.42169,93.69999,1.35756,0.98186,20,0.4031273,0
Almandine,Fe3Al2Si3O12,-4935516,0.00011543,173.8963,4.91341,741.356,1.06495,1.42169,96,1.40927,2.09292,20,0.4977473,3
Grossular,Ca3Al2Si3O12,-6277935,0.00012512,167.0622,3.91544,822.743,1.05404,1.88887,109,1.16274,2.38418,20,0.4504463,0
Mg_Majorite,Mg4Si4O12,-5691614,0.000114324,165.1183,4.21183,822.458,0.97682,1.53581,84.99999,1.42969,1.0178,20,0.4015548,0
Jd_Majorite,Na2Al2Si4O12,-5518542,0.00011094,177.0772,4.11067,895.914,1.01424,1.42169,125,1.35756,3.30517,20,0.4042774,0
Ca_Perovskite,CaSiO3,-1463358,2.75E-05,236,3.9,795.779,1.88839,0.89769,156.8315,2.22713,1.28818,5,0.1161617,0
Forsterite,Mg2SiO4,-2055403,4.36E-05,127.9555,4.21796,809.1703,0.99282,2.10672,81.59999,1.46257,2.29972,7,0.1406931,0
Fayalite,Fe2SiO4,-1370519,4.63E-05,134.9622,4.21796,618.7007,1.06023,3.6466,50.89999,1.46257,1.02497,7,0.2037731,2
Mg_Wadsleyite,Mg2SiO4,-2027837,4.05E-05,168.6948,4.3229,843.4973,1.2061,2.0188,112,1.44424,2.63683,7,0.1406931,0
Fe_Wadsleyite,Fe2SiO4,-1364668,4.28E-05,168.591,4.3229,665.4492,1.2061,2.0188,72,1.44424,1.04017,7,0.2037731,2
Mg_Ringwoodite,Mg2SiO4,-2017557,3.95E-05,184.9009,4.22035,877.7094,1.10791,2.3914,123,1.35412,2.30461,7,0.1406931,0
Fe_Ringwoodite,Fe2SiO4,-1362772,4.19E-05,213.412,4.22035,677.7177,1.27193,2.3914,92,1.35412,1.77249,7,0.2037731,2
Mg_Akimotoite,MgSiO3,-1410850,2.64E-05,210.706,5.62088,935.9778,1.18984,2.34514,132,1.57889,2.80782,5,0.1003887,0
Fe_Akimotoite,FeSiO3,-1067598,2.69E-05,210.706,5.62088,887.8709,1.18984,2.34514,152.3046,1.57889,3.5716,5,0.1319287,1
Corundum,AlAlO3,-1582454,2.56E-05,252.5457,4.33728,932.5696,1.32442,1.30316,163.2,1.64174,2.8316,5,0.1019612,0
Mg_Perovskite,MgSiO3,-1368283,2.44E-05,250.5264,4.14,905.9412,1.56508,1.10945,172.9,1.69037,2.56536,5,0.1003887,0
Fe_Perovskite,FeSiO3,-1040920,2.55E-05,272.1152,4.14,870.8122,1.56508,1.10945,132.6849,1.37485,2.29211,5,0.1319287,1
Al_perovskite,AlAlO3,-1533878,2.49E-05,258.2,4.14,886.4601,1.56508,1.10945,171.3116,1.49706,2.47126,5,0.1019612,0
Mg_Post_Perovskite,MgSiO3,-1348641,2.44E-05,231.2,4,855.8173,1.89155,1.09081,150.167,1.97874,1.16704,5,0.1003887,0
Fe_Post_Perovskite,FeSiO3,-981806.9,2.55E-05,231.2,4,781.3465,1.89155,1.09081,129.5,1.44675,1.36382,5,0.1319287,1
Al_Post_Perovskite,AlAlO3,-1377582,2.38E-05,249,4,762.1951,1.64573,1.09081,91.96531,1.81603,2.83762,5,0.1019612,0
Mg_Ca_Ferrite,MgAl2O4,-2122169,3.62E-05,210.6663,4.0528,838.6291,1.31156,1,129.826,1.75878,2.1073,7,0.1422656,0
Fe_Ca_Ferrite,FeAl2O4,-1790284,3.73E-05,210.6663,4.0528,804.1986,1.31156,1,153.5236,1.75878,3.0268,7,0.1738056,1
Na_Ca_Ferrite,NaAlSiO4,-1844129,3.63E-05,161.3385,4.32479,812.4769,0.69428,1,122.0049,2.07687,2.79016,7,0.1420544,0
Periclase,MgO,-569444.6,1.12E-05,161.3836,3.84045,767.0977,1.36127,1.7217,130.9,2.1438,2.81765,2,0.0403044,0
Wuestite,FeO,-242146,1.23E-05,179.4442,4.9376,454.1592,1.53047,1.7217,59,1.44673,-0.05731,2,0.0718444,1
Quartz,SiO2,-858853.4,2.37E-05,49.54743,4.33155,816.3307,0.0001,1,44.85617,0.95315,2.36469,3,0.0600843,0
Coesite,SiO2,-855068.5,2.07E-05,113.5856,4,852.4267,0.39157,1,61.60001,1.24734,2.39793,3,0.0600843,0
Stishovite,SiO2,-818984.6,1.40E-05,314.3352,3.75122,1107.824,1.37466,2.83517,220,1.93334,4.60904,3,0.0600843,0
Anorthite,CaAl2Si2O8,-4014619,0.00010061,84.08915,4,752.3911,0.39241,1,39.9,1.09134,1.6254,13,0.2782072,0
Kyanite,Al2SiO5,-2446058,4.42E-05,160,4,943.1665,0.9255,1,120.4033,1.7308,2.96665,8,0.1620455,0
Nepheline,NaAlSiO4,-1992104,5.47E-05,53.07799,4,700.9422,0.69428,1,30.7,1.33031,0.6291,7,0.1420544,0
